TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LATITUDE,LONGITUDE
Co-op for sale,2175000,4,4,2184.21,"New York, NY 10016","132 E 35th St # 16GHNew York, NY 10016",New York,New York County,New York,Manhattan,40.7468058,-73.9797483
Co-op for sale,1296000,2,2,1200,"New York, NY 10075","515 E 79th St Apt 6ANew York, NY 10075",New York,New York County,New York,Manhattan,40.7709564,-73.9487946
Co-op for sale,3395000,4,3,3111,"New York, NY 10023","129 W 70th St Unit 1New York, NY 10023",New York,New York County,New York,Manhattan,40.7763812,-73.9800135
Co-op for sale,450000,2,1,1100,"Brooklyn, NY 11229","2675 Ocean Ave Apt 3BBrooklyn, NY 11229",New York,Kings County,Brooklyn,Sheepshead Bay,40.595967,-73.9504018
Condo for sale,649000,3,2,1770,"Rockaway Park, NY 11694","103-06 Rockaway Beach Blvd Unit 3CRockaway Park, NY 11694",New York,Queens County,Queens,Rockaway Park,40.5838274,-73.8243138
Pending,1295000,2,2,2000,"New York, NY 10001","130 W 26th St Apt 3New York, NY 10001",New York,New York County,New York,Manhattan,40.7450475,-73.9923569
Pending,1775000,2,2,2184.21,"Brooklyn, NY 11201","21 Monroe Pl Apt 3FLBrooklyn, NY 11201",New York,Kings County,Brooklyn,Brooklyn Heights,40.6965907,-73.9926789
Co-op for sale,265000,2,1,900,"Brooklyn, NY 11235","2461 E 29th St Apt 3FBrooklyn, NY 11235",New York,Kings County,Brooklyn,Sheepshead Bay,40.5920038,-73.9410354
Condo for sale,3595000,2,2,2184.21,"New York, NY 10023","15 W 61st St Apt 22BNew York, NY 10023",New York,New York County,New York,Manhattan,40.7701937,-73.9829177
Pending,769000,2,2,2184.21,"Forest Hills, NY 11375","102-42 63rd AveForest Hills, NY 11375",United States,New York,Queens County,Queens,40.7339071,-73.8535727
Multi-family home for sale,1350000,9,3,3318,"Bronx, NY 10451","307 E 162nd StBronx, NY 10451",United States,New York,Bronx County,The Bronx,40.8262094,-73.9164423
Multi-family home for sale,797777,4,2,2184.21,"Jamaica, NY 11436","117-63 140th StJamaica, NY 11436",United States,New York,Queens County,Queens,40.6764388,-73.8008604
Pending,4650000,6,2.373860858,4734,"Brooklyn, NY 11238","168 Lafayette AveBrooklyn, NY 11238",United States,New York,Kings County,Brooklyn,40.6875443,-73.9701737
Pending,680000,4,2,1536,"Ozone Park, NY 11417","135-30 94th StOzone Park, NY 11417",United States,New York,Queens County,Queens,40.6729488,-73.8425151
House for sale,549000,4,2,2184.21,"Far Rockaway, NY 11691","10-18 Beach 22nd StFar Rockaway, NY 11691",United States,New York,Queens County,Queens,40.6027057,-73.7548417
Pending,13650000,5,2.373860858,2184.21,"New York, NY 10021","164 E 70th StNew York, NY 10021",United States,New York,New York County,New York,40.7686449,-73.9625686
